sample,time_s,raw_u16,code12,voltage_V
0,0.000059000,23621,1476,1.189430
1,0.000516000,11090,693,0.558434
2,0.001012000,8674,542,0.436777
3,0.001512000,20997,1312,1.057299
4,0.002011000,40537,2533,2.041231
5,0.002512000,55901,3493,2.814882
6,0.003011000,58126,3632,2.926921
7,0.003512000,45947,2871,2.313651
8,0.004011000,25942,1621,1.306304
9,0.004510000,10802,675,0.543932
10,0.005010000,8754,547,0.440806
11,0.005510000,21141,1321,1.064550
12,0.006010000,40537,2533,2.041231
13,0.006510000,55933,3495,2.816493
14,0.007010000,57966,3622,2.918864
15,0.007510000,45851,2865,2.308817
16,0.008010000,26198,1637,1.319194
17,0.008509000,10946,684,0.551183
18,0.009009000,8546,534,0.430332
19,0.009509000,20949,1309,1.054882
20,0.010008000,40441,2527,2.036397
21,0.010508000,55677,3479,2.803602
22,0.011014000,58046,3627,2.922893
23,0.011514000,45627,2851,2.297537
24,0.012014000,26102,1631,1.314360
25,0.012514000,9714,607,0.489146
26,0.013013000,8898,556,0.448057
27,0.013513000,20356,1272,1.025022
28,0.014012000,40633,2539,2.046066
29,0.014513000,56221,3513,2.830996
30,0.015012000,58046,3627,2.922893
31,0.015512000,45723,2857,2.302371
32,0.016012000,26054,1628,1.311943
33,0.016512000,10754,672,0.541515
34,0.017012000,8610,538,0.433555
35,0.017513000,20981,1311,1.056494
36,0.018012000,40537,2533,2.041231
37,0.018512000,55821,3488,2.810854
38,0.019011000,58094,3630,2.925310
39,0.019511000,45515,2844,2.291898
40,0.020010000,26310,1644,1.324834
41,0.020510000,10770,673,0.542321
42,0.021010000,8626,539,0.434360
43,0.021509000,20276,1267,1.020993
44,0.022010000,40457,2528,2.037203
45,0.022510000,55885,3492,2.814076
46,0.023010000,57934,3620,2.917253
47,0.023509000,45851,2865,2.308817
48,0.024009000,26358,1647,1.327251
49,0.024508000,10770,673,0.542321
50,0.025008000,8690,543,0.437583
51,0.025508000,20837,1302,1.049242
52,0.026008000,40489,2530,2.038814
53,0.026514000,56061,3503,2.822939
54,0.027008000,58062,3628,2.923699
55,0.027508000,45675,2854,2.299954
56,0.028014000,25990,1624,1.308720
57,0.028508000,10818,676,0.544738
58,0.029014000,8722,545,0.439194
59,0.029513000,21733,1358,1.094360
60,0.030013000,40617,2538,2.045260
61,0.030513000,55661,3478,2.802797
62,0.031013000,57758,3609,2.908391
63,0.031512000,45707,2856,2.301566
64,0.032012000,26166,1635,1.317583
65,0.032511000,10722,670,0.539904
66,0.033011000,8674,542,0.436777
67,0.033511000,20885,1305,1.051659
68,0.034010000,40585,2536,2.043648
69,0.034510000,55965,3497,2.818105
70,0.035011000,57982,3623,2.919670
71,0.035510000,45803,2862,2.306400
72,0.036010000,26230,1639,1.320806
73,0.036510000,9250,578,0.465782
74,0.037010000,8546,534,0.430332
75,0.037510000,20981,1311,1.056494
