frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
0.000000,0.00018606,-78.9566,dc
7.815381,0.00071467,-67.2676,noise
15.630762,0.00178743,-59.3051,noise
23.446144,0.00198033,-58.4149,noise
31.261524,0.00141187,-61.3538,noise
39.076904,0.00200635,-58.3015,noise
46.892290,0.00207603,-58.0050,noise
54.707670,0.00185694,-58.9737,noise
62.523050,0.00298304,-54.8565,noise
70.338430,0.00458074,-51.1310,noise
78.153810,0.00298775,-54.8428,noise
85.969190,0.00062495,-68.4328,noise
93.784580,0.00234765,-56.9370,noise
101.599950,0.00142635,-61.2651,noise
109.415340,0.00294825,-54.9584,noise
117.230710,0.00323685,-54.1472,noise
125.046100,0.00309849,-54.5267,noise
132.861480,0.00129455,-62.1073,noise
140.676860,0.00250890,-56.3600,noise
148.492240,0.00404272,-52.2162,noise
156.307620,0.00235426,-56.9126,noise
164.123000,0.00113608,-63.2415,noise
171.938380,0.00210776,-57.8733,noise
179.753776,0.00216121,-57.6557,noise
187.569160,0.00223558,-57.3619,guard
195.384520,0.00131422,-61.9763,guard
203.199900,0.00300869,-54.7821,guard
211.015292,0.00249542,-56.4068,guard
218.830680,0.00060512,-68.7128,signal
226.646060,0.00263680,-55.9281,signal
234.461420,0.00130045,-62.0678,signal
242.276816,0.64876410,-8.1079,signal
250.092200,1.29756430,-2.0871,signal
257.907560,0.64834080,-8.1136,signal
265.722960,0.00152052,-60.7098,signal
273.538320,0.00252756,-56.2957,signal
281.353720,0.00226991,-57.2295,signal
289.169100,0.00081351,-66.1425,guard
296.984480,0.00259923,-56.0528,guard
304.799880,0.00096500,-64.6591,guard
312.615240,0.00173988,-59.5393,guard
320.430640,0.00433261,-51.6147,noise
328.246000,0.00630965,-48.3496,noise
336.061360,0.00262720,-55.9598,noise
343.876760,0.00119569,-62.7973,noise
351.692136,0.00159327,-60.3039,noise
359.507552,0.00082471,-66.0236,noise
367.322900,0.00162880,-60.1123,noise
375.138300,0.00163281,-60.0910,noise
382.953680,0.00199429,-58.3539,noise
390.769040,0.00166314,-59.9311,noise
398.584440,0.00069728,-67.4816,noise
406.399800,0.00175545,-59.4619,noise
414.215200,0.00134920,-61.7481,noise
422.030584,0.00162534,-60.1308,noise
429.845960,0.00340237,-53.7140,guard
437.661360,0.00381844,-52.7119,guard
445.476700,0.00235870,-56.8962,guard
453.292100,0.00190301,-58.7609,guard
461.107480,0.00101473,-64.2227,harmonic
468.922840,0.00258754,-56.0919,harmonic
476.738240,0.00194816,-58.5572,harmonic
484.553632,0.00161311,-60.1964,harmonic
492.369032,0.00245725,-56.5407,harmonic
500.184400,0.00044868,-71.3109,harmonic
507.999760,0.00149955,-60.8305,harmonic
515.815100,0.00085813,-65.6786,harmonic
523.630560,0.00118047,-62.9086,harmonic
531.445900,0.00071021,-67.3219,guard
539.261300,0.00225623,-57.2820,guard
547.076680,0.00200019,-58.3282,guard
554.892000,0.00156241,-60.4738,guard
562.707480,0.00169745,-59.7537,noise
570.522800,0.00108909,-63.6084,noise
578.338200,0.00266371,-55.8399,noise
586.153560,0.00277424,-55.4868,noise
593.968920,0.00094270,-64.8622,noise
601.784360,0.00220313,-57.4889,noise
609.599760,0.00156764,-60.4447,noise
617.415100,0.00383803,-52.6675,noise
625.230440,0.00311232,-54.4880,noise
633.045840,0.00078890,-66.4092,noise
640.861240,0.00039972,-72.3146,noise
648.676640,0.00113925,-63.2173,noise
656.492000,0.00222299,-57.4109,noise
664.307400,0.00180729,-59.2091,noise
672.122680,0.00068183,-67.6761,noise
679.938200,0.00121231,-62.6774,noise
687.753520,0.00177430,-59.3692,noise
695.568900,0.00171030,-59.6882,noise
703.384300,0.00208488,-57.9681,guard
711.199636,0.00071409,-67.2747,guard
719.015100,0.00209416,-57.9295,guard
726.830436,0.00360828,-53.2037,guard
734.645800,0.00206744,-58.0410,harmonic
742.461200,0.00062690,-68.4057,harmonic
750.276600,0.00130389,-62.0449,harmonic
758.092000,0.00366079,-53.0782,harmonic
765.907320,0.00442441,-51.4326,harmonic
773.722700,0.00311776,-54.4728,harmonic
781.538100,0.00172600,-59.6089,harmonic
789.353500,0.00174554,-59.5111,harmonic
797.168900,0.00124661,-62.4351,harmonic
804.984240,0.00120534,-62.7275,guard
812.799600,0.00293867,-54.9867,guard
820.615000,0.00421421,-51.8554,guard
828.430400,0.00070408,-67.3972,guard
836.245800,0.00271494,-55.6745,noise
844.061168,0.00251013,-56.3558,noise
851.876500,0.00183074,-59.0971,noise
859.691900,0.00159505,-60.2942,noise
867.507300,0.00139050,-61.4862,noise
875.322700,0.00083502,-65.9158,noise
883.138080,0.00130080,-62.0655,noise
890.953400,0.00140763,-61.3799,noise
898.768800,0.00054833,-69.5688,noise
906.584200,0.00152121,-60.7059,noise
914.399600,0.00088345,-65.4260,noise
922.214960,0.00108501,-63.6410,guard
930.030320,0.00108719,-63.6236,guard
937.845700,0.00149667,-60.8472,guard
945.661160,0.00196006,-58.5043,guard
953.476500,0.00038100,-72.7313,harmonic
961.291900,0.00191206,-58.7197,harmonic
969.107264,0.00148072,-60.9402,harmonic
976.922600,0.00299780,-54.8136,harmonic
984.738064,0.00395656,-52.4033,harmonic
992.553400,0.00227518,-57.2094,harmonic
1000.368800,0.00016946,-79.7683,harmonic
